title,stem,tokens,tokens_clean,merged
"gempa lombok picu longsor, 40 orang terjebak dua tewas",gempa lombok picu longsor 40 orang jebak dua tewas,"['gempa', 'lombok', 'picu', 'longsor', '40', 'orang', 'jebak', 'dua', 'tewas']","['gempa', 'lombok', 'picu', 'longsor', '40', 'orang', 'jebak', 'tewas']",gempa lombok picu longsor 40 orang jebak tewas
"3 bencana alam terjadi dalam sepekan, gempa di lombok hingga banjir bandang di sentani papua",3 bencana alam jadi dalam pek gempa di lombok hingga banjir bandang di sentani papua,"['3', 'bencana', 'alam', 'jadi', 'dalam', 'pek', 'gempa', 'di', 'lombok', 'hingga', 'banjir', 'bandang', 'di', 'sentani', 'papua']","['3', 'bencana', 'alam', 'pek', 'gempa', 'lombok', 'banjir', 'bandang', 'sentani', 'papua']",3 bencana alam pek gempa lombok banjir bandang sentani papua
"temuan terkini, ada sesar baru penyebab gempa di lombok",temu kini ada sesar baru sebab gempa di lombok,"['temu', 'kini', 'ada', 'sesar', 'baru', 'sebab', 'gempa', 'di', 'lombok']","['temu', 'sesar', 'gempa', 'lombok']",temu sesar gempa lombok
pengamat: gempa lombok terjadi akibat sesar aktif tektonik,amat gempa lombok jadi akibat sesar aktif tektonik,"['amat', 'gempa', 'lombok', 'jadi', 'akibat', 'sesar', 'aktif', 'tektonik']","['gempa', 'lombok', 'akibat', 'sesar', 'aktif', 'tektonik']",gempa lombok akibat sesar aktif tektonik
"tiba di lombok, presiden jokowi tinjau rehabilitasi pasca gempa",tiba di lombok presiden jokowi tinjau rehabilitasi pasca gempa,"['tiba', 'di', 'lombok', 'presiden', 'jokowi', 'tinjau', 'rehabilitasi', 'pasca', 'gempa']","['lombok', 'presiden', 'jokowi', 'tinjau', 'rehabilitasi', 'pasca', 'gempa']",lombok presiden jokowi tinjau rehabilitasi pasca gempa
presiden jokowi sebut pemerintah jamin bantuan kerusakan gempa lombok,presiden jokowi sebut perintah jamin bantu rusa gempa lombok,"['presiden', 'jokowi', 'sebut', 'perintah', 'jamin', 'bantu', 'rusa', 'gempa', 'lombok']","['presiden', 'jokowi', 'perintah', 'jamin', 'bantu', 'rusa', 'gempa', 'lombok']",presiden jokowi perintah jamin bantu rusa gempa lombok
presiden jokowi senang warga lombok antusias bangun rumah tahan gempa,presiden jokowi senang warga lombok antusias bangun rumah tahan gempa,"['presiden', 'jokowi', 'senang', 'warga', 'lombok', 'antusias', 'bangun', 'rumah', 'tahan', 'gempa']","['presiden', 'jokowi', 'senang', 'warga', 'lombok', 'antusias', 'bangun', 'rumah', 'tahan', 'gempa']",presiden jokowi senang warga lombok antusias bangun rumah tahan gempa
"kontroversi prabowo di manado, minum kopi saat azan hingga gempa bumi   kumparan.com",kontroversi prabowo di manado minum kopi saat azan hingga gempa bumi kumpar com,"['kontroversi', 'prabowo', 'di', 'manado', 'minum', 'kopi', 'saat', 'azan', 'hingga', 'gempa', 'bumi', 'kumpar', 'com']","['kontroversi', 'prabowo', 'manado', 'minum', 'kopi', 'azan', 'gempa', 'bumi', 'kumpar', 'com']",kontroversi prabowo manado minum kopi azan gempa bumi kumpar com
"wilayah saparua maluku tengah diguncang gempa 3,9 sr",wilayah saparua malu tengah guncang gempa 3 9 sr,"['wilayah', 'saparua', 'malu', 'tengah', 'guncang', 'gempa', '3', '9', 'sr']","['wilayah', 'saparua', 'malu', 'guncang', 'gempa', '3', '9', 'sr']",wilayah saparua malu guncang gempa 3 9 sr
"warga pamona utara poso, sulteng masih tidur di tenda",warga pamona utara poso sulteng masih tidur di tenda,"['warga', 'pamona', 'utara', 'poso', 'sulteng', 'masih', 'tidur', 'di', 'tenda']","['warga', 'pamona', 'utara', 'poso', 'sulteng', 'tidur', 'tenda']",warga pamona utara poso sulteng tidur tenda
