published date,title,stem,tokens,tokens_clean,merged
2018-01-09 08:00:00+00:00,dua orang meninggal dalam kecelakaan pantura karawang,dua orang tinggal dalam celaka pantura karawang,"['dua', 'orang', 'tinggal', 'dalam', 'celaka', 'pantura', 'karawang']","['orang', 'tinggal', 'celaka', 'pantura', 'karawang']",orang tinggal celaka pantura karawang
2018-01-10 08:00:00+00:00,begini konstruksi dugaan rekayasa sakit setya novanto usai kecelakaan,begini konstruksi duga rekayasa sakit setya novanto usai celaka,"['begini', 'konstruksi', 'duga', 'rekayasa', 'sakit', 'setya', 'novanto', 'usai', 'celaka']","['konstruksi', 'duga', 'rekayasa', 'sakit', 'setya', 'novanto', 'celaka']",konstruksi duga rekayasa sakit setya novanto celaka
2018-01-10 08:00:00+00:00,viral! pemotor di kawasan jurong ‘terbang’ ditabrak mobil,viral motor di kawasan jurong terbang tabrak mobil,"['viral', 'motor', 'di', 'kawasan', 'jurong', 'terbang', 'tabrak', 'mobil']","['viral', 'motor', 'kawasan', 'jurong', 'terbang', 'tabrak', 'mobil']",viral motor kawasan jurong terbang tabrak mobil
2018-01-11 01:02:55+00:00,"menabrak orang hingga meninggal, musibah atau pembunuhan?",tabrak orang hingga tinggal musibah atau bunuh,"['tabrak', 'orang', 'hingga', 'tinggal', 'musibah', 'atau', 'bunuh']","['tabrak', 'orang', 'tinggal', 'musibah', 'bunuh']",tabrak orang tinggal musibah bunuh
2018-01-11 08:00:00+00:00,"truk kontainer terguling di gresik, sopir terjepit",truk kontainer guling di gresik sopir jepit,"['truk', 'kontainer', 'guling', 'di', 'gresik', 'sopir', 'jepit']","['truk', 'kontainer', 'guling', 'gresik', 'sopir', 'jepit']",truk kontainer guling gresik sopir jepit
2018-01-11 08:00:00+00:00,14.552 kasus kecelakaan kerja terjadi di jatim sepanjang 2017,14 552 kasus celaka kerja jadi di jatim panjang 2017,"['14', '552', 'kasus', 'celaka', 'kerja', 'jadi', 'di', 'jatim', 'panjang', '2017']","['14', '552', 'celaka', 'kerja', 'jatim', '2017']",14 552 celaka kerja jatim 2017
2018-01-12 08:00:00+00:00,"kecelakaan di jalan sudirman, alphard ringsek",celaka di jalan sudirman alphard ringsek,"['celaka', 'di', 'jalan', 'sudirman', 'alphard', 'ringsek']","['celaka', 'jalan', 'sudirman', 'alphard', 'ringsek']",celaka jalan sudirman alphard ringsek
2018-01-12 08:00:00+00:00,"foto: kecelakaan terkena truk, nikita mirzani ungkap kondisi adik",foto celaka kena truk nikita mirzani ungkap kondisi adik,"['foto', 'celaka', 'kena', 'truk', 'nikita', 'mirzani', 'ungkap', 'kondisi', 'adik']","['foto', 'celaka', 'kena', 'truk', 'nikita', 'mirzani', 'kondisi', 'adik']",foto celaka kena truk nikita mirzani kondisi adik
2018-01-12 08:00:00+00:00,"kecelakaan, siswa sma tewas mengenaskan saat pulang sekolah",celaka siswa sma tewas enas saat pulang sekolah,"['celaka', 'siswa', 'sma', 'tewas', 'enas', 'saat', 'pulang', 'sekolah']","['celaka', 'siswa', 'sma', 'tewas', 'enas', 'pulang', 'sekolah']",celaka siswa sma tewas enas pulang sekolah
2018-01-13 08:00:00+00:00,"kecelakaan mobil di perlintasan ka pondok ranji, 2 orang tewas",celaka mobil di lintas ka pondok ranji 2 orang tewas,"['celaka', 'mobil', 'di', 'lintas', 'ka', 'pondok', 'ranji', '2', 'orang', 'tewas']","['celaka', 'mobil', 'lintas', 'ka', 'pondok', 'ranji', '2', 'orang', 'tewas']",celaka mobil lintas ka pondok ranji 2 orang tewas
2018-01-13 08:00:00+00:00,"kecelakaan di wonoayu: dua motor adu banteng, satu tewas",celaka di wonoayu dua motor adu banteng satu tewas,"['celaka', 'di', 'wonoayu', 'dua', 'motor', 'adu', 'banteng', 'satu', 'tewas']","['celaka', 'wonoayu', 'motor', 'adu', 'banteng', 'tewas']",celaka wonoayu motor adu banteng tewas
2018-01-13 08:00:00+00:00,"kereta tabrak terios, 3 tewas di ciputat",kereta tabrak terios 3 tewas di ciputat,"['kereta', 'tabrak', 'terios', '3', 'tewas', 'di', 'ciputat']","['kereta', 'tabrak', 'terios', '3', 'tewas', 'ciputat']",kereta tabrak terios 3 tewas ciputat
2018-01-13 08:00:00+00:00,pencipta boys over flowers tewas dalam kecelakaan tragis,cipta boys over flowers tewas dalam celaka tragis,"['cipta', 'boys', 'over', 'flowers', 'tewas', 'dalam', 'celaka', 'tragis']","['cipta', 'boys', 'over', 'flowers', 'tewas', 'celaka', 'tragis']",cipta boys over flowers tewas celaka tragis
2018-01-14 08:00:00+00:00,"mobil tertabrak kereta di pondok ranji, polisi panggil pt kai",mobil tabrak kereta di pondok ranji polisi panggil pt kai,"['mobil', 'tabrak', 'kereta', 'di', 'pondok', 'ranji', 'polisi', 'panggil', 'pt', 'kai']","['mobil', 'tabrak', 'kereta', 'pondok', 'ranji', 'polisi', 'panggil', 'pt', 'kai']",mobil tabrak kereta pondok ranji polisi panggil pt kai
2018-01-15 08:00:00+00:00,"kasihan, bocah ini terus menangis menahan sakit di wajah akibat kecelakaan yang disebabkan ini",kasihan bocah ini terus menang tahan sakit di wajah akibat celaka yang sebab ini,"['kasihan', 'bocah', 'ini', 'terus', 'menang', 'tahan', 'sakit', 'di', 'wajah', 'akibat', 'celaka', 'yang', 'sebab', 'ini']","['kasihan', 'bocah', 'menang', 'tahan', 'sakit', 'wajah', 'akibat', 'celaka']",kasihan bocah menang tahan sakit wajah akibat celaka
2018-01-15 08:00:00+00:00,"tabrakan, puluhan santri terpental dari mobil",tabrak puluh santri pental dari mobil,"['tabrak', 'puluh', 'santri', 'pental', 'dari', 'mobil']","['tabrak', 'puluh', 'santri', 'pental', 'mobil']",tabrak puluh santri pental mobil
2018-01-15 08:00:00+00:00,sebagian korban kecelakaan bei boleh pulang dari rumah sakit,bagi korban celaka bei boleh pulang dari rumah sakit,"['bagi', 'korban', 'celaka', 'bei', 'boleh', 'pulang', 'dari', 'rumah', 'sakit']","['korban', 'celaka', 'bei', 'pulang', 'rumah', 'sakit']",korban celaka bei pulang rumah sakit
2018-01-15 08:00:00+00:00,"kecelakaan maut di pantura pasuruan, pengemudi mpv tewas terjepit",celaka maut di pantura pasuruan kemudi mpv tewas jepit,"['celaka', 'maut', 'di', 'pantura', 'pasuruan', 'kemudi', 'mpv', 'tewas', 'jepit']","['celaka', 'maut', 'pantura', 'pasuruan', 'kemudi', 'mpv', 'tewas', 'jepit']",celaka maut pantura pasuruan kemudi mpv tewas jepit
2018-01-16 08:00:00+00:00,hasil sementara penyelidikan robohnya balkon gedung bei: apa yang sudah kita ketahui sejauh ini,hasil sementara lidi roboh balkon gedung bei apa yang sudah kita tahu jauh ini,"['hasil', 'sementara', 'lidi', 'roboh', 'balkon', 'gedung', 'bei', 'apa', 'yang', 'sudah', 'kita', 'tahu', 'jauh', 'ini']","['hasil', 'lidi', 'roboh', 'balkon', 'gedung', 'bei']",hasil lidi roboh balkon gedung bei
2018-01-16 08:00:00+00:00,"136 ribu ton minyak tumpah, kecelakaan kapal tanker iran merusak laut",136 ribu ton minyak tumpah celaka kapal tanker iran rusak laut,"['136', 'ribu', 'ton', 'minyak', 'tumpah', 'celaka', 'kapal', 'tanker', 'iran', 'rusak', 'laut']","['136', 'ribu', 'ton', 'minyak', 'tumpah', 'celaka', 'kapal', 'tanker', 'iran', 'rusak', 'laut']",136 ribu ton minyak tumpah celaka kapal tanker iran rusak laut
2018-01-16 08:00:00+00:00,"kecelakaan lalu lintas di pamekasan, dua orang tewas",celaka lalu lintas di pamekasan dua orang tewas,"['celaka', 'lalu', 'lintas', 'di', 'pamekasan', 'dua', 'orang', 'tewas']","['celaka', 'lintas', 'pamekasan', 'orang', 'tewas']",celaka lintas pamekasan orang tewas
2018-01-17 08:00:00+00:00,"klaim asuransi kecelakaan ditolak, nasabah laporkan direksi allianz",klaim asuransi celaka tolak nasabah lapor direksi allianz,"['klaim', 'asuransi', 'celaka', 'tolak', 'nasabah', 'lapor', 'direksi', 'allianz']","['klaim', 'asuransi', 'celaka', 'tolak', 'nasabah', 'lapor', 'direksi', 'allianz']",klaim asuransi celaka tolak nasabah lapor direksi allianz
