published date,title,stem,tokens,tokens_clean,merged
2022-08-08 07:00:00+00:00,banjir ganggu aktivitas warga kabupaten katingan,banjir ganggu aktivitas warga kabupaten katingan,"['banjir', 'ganggu', 'aktivitas', 'warga', 'kabupaten', 'katingan']","['banjir', 'ganggu', 'aktivitas', 'warga', 'kabupaten', 'katingan']",banjir ganggu aktivitas warga kabupaten katingan
2022-08-08 07:00:00+00:00,biden akan tinjau kerusakan akibat banjir di kentucky | republika online,biden akan tinjau rusa akibat banjir di kentucky republika online,"['biden', 'akan', 'tinjau', 'rusa', 'akibat', 'banjir', 'di', 'kentucky', 'republika', 'online']","['biden', 'tinjau', 'rusa', 'akibat', 'banjir', 'kentucky', 'republika', 'online']",biden tinjau rusa akibat banjir kentucky republika online
2022-08-08 07:00:00+00:00,apa penyebab banjir bandang? simak juga pengertian dan pencegahannya,apa sebab banjir bandang simak juga erti dan cegah,"['apa', 'sebab', 'banjir', 'bandang', 'simak', 'juga', 'erti', 'dan', 'cegah']","['banjir', 'bandang', 'simak', 'erti', 'cegah']",banjir bandang simak erti cegah
2022-08-08 07:00:00+00:00,"banjir kapuas hulu, sebanyak 15.382 jiwa terdampak",banjir kapuas hulu banyak 15 382 jiwa dampak,"['banjir', 'kapuas', 'hulu', 'banyak', '15', '382', 'jiwa', 'dampak']","['banjir', 'kapuas', 'hulu', '15', '382', 'jiwa', 'dampak']",banjir kapuas hulu 15 382 jiwa dampak
2022-08-09 07:00:00+00:00,5 fakta banjir parah di seoul korsel hingga jatuh korban jiwa,5 fakta banjir parah di seoul korsel hingga jatuh korban jiwa,"['5', 'fakta', 'banjir', 'parah', 'di', 'seoul', 'korsel', 'hingga', 'jatuh', 'korban', 'jiwa']","['5', 'fakta', 'banjir', 'parah', 'seoul', 'korsel', 'jatuh', 'korban', 'jiwa']",5 fakta banjir parah seoul korsel jatuh korban jiwa
2022-08-09 07:00:00+00:00,banjir korea selatan: flat semi-bawah tanah seperti yang muncul dalam film parasite resmi dilarang 'demi lindungi keselamatan warga miskin',banjir korea selatan flat semi-bawah tanah seperti yang muncul dalam film parasite resmi larang demi lindung selamat warga miskin,"['banjir', 'korea', 'selatan', 'flat', 'semi-bawah', 'tanah', 'seperti', 'yang', 'muncul', 'dalam', 'film', 'parasite', 'resmi', 'larang', 'demi', 'lindung', 'selamat', 'warga', 'miskin']","['banjir', 'korea', 'selatan', 'flat', 'semi-bawah', 'tanah', 'muncul', 'film', 'parasite', 'resmi', 'larang', 'lindung', 'selamat', 'warga', 'miskin']",banjir korea selatan flat semi-bawah tanah muncul film parasite resmi larang lindung selamat warga miskin
2022-08-09 07:00:00+00:00,"seoul banjir parah: data korban, kerusakan, penyebab",seoul banjir parah data korban rusa sebab,"['seoul', 'banjir', 'parah', 'data', 'korban', 'rusa', 'sebab']","['seoul', 'banjir', 'parah', 'data', 'korban', 'rusa']",seoul banjir parah data korban rusa
2022-08-09 07:00:00+00:00,"banjir bandang rendam seoul, 7 orang tewas dan 6 hilang",banjir bandang rendam seoul 7 orang tewas dan 6 hilang,"['banjir', 'bandang', 'rendam', 'seoul', '7', 'orang', 'tewas', 'dan', '6', 'hilang']","['banjir', 'bandang', 'rendam', 'seoul', '7', 'orang', 'tewas', '6', 'hilang']",banjir bandang rendam seoul 7 orang tewas 6 hilang
2022-08-09 07:00:00+00:00,sebanyak 40 rumah warga dan lahan pertanian di pohuwato terendam banjir,banyak 40 rumah warga dan lahan tani di pohuwato rendam banjir,"['banyak', '40', 'rumah', 'warga', 'dan', 'lahan', 'tani', 'di', 'pohuwato', 'rendam', 'banjir']","['40', 'rumah', 'warga', 'lahan', 'tani', 'pohuwato', 'rendam', 'banjir']",40 rumah warga lahan tani pohuwato rendam banjir
2022-08-10 07:00:00+00:00,"berita | warga medan johor merasa pembangunan saluran drainase bermanfaat, banjir dan kemacetan dapat ...",berita warga medan johor rasa bangun salur drainase manfaat banjir dan macet dapat,"['berita', 'warga', 'medan', 'johor', 'rasa', 'bangun', 'salur', 'drainase', 'manfaat', 'banjir', 'dan', 'macet', 'dapat']","['berita', 'warga', 'medan', 'johor', 'bangun', 'salur', 'drainase', 'manfaat', 'banjir', 'macet']",berita warga medan johor bangun salur drainase manfaat banjir macet
2022-08-10 07:00:00+00:00,belasan orang tewas dan hilang akibat banjir di korea selatan,bas orang tewas dan hilang akibat banjir di korea selatan,"['bas', 'orang', 'tewas', 'dan', 'hilang', 'akibat', 'banjir', 'di', 'korea', 'selatan']","['bas', 'orang', 'tewas', 'hilang', 'akibat', 'banjir', 'korea', 'selatan']",bas orang tewas hilang akibat banjir korea selatan
2022-08-10 07:00:00+00:00,dinas perikanan tebar benih ikan di banjir kanal barat,dinas ikan tebar benih ikan di banjir kanal barat,"['dinas', 'ikan', 'tebar', 'benih', 'ikan', 'di', 'banjir', 'kanal', 'barat']","['dinas', 'ikan', 'tebar', 'benih', 'ikan', 'banjir', 'kanal', 'barat']",dinas ikan tebar benih ikan banjir kanal barat
