published date,title,stem,tokens,tokens_clean,merged
2020-11-14 08:00:00+00:00,kebakaran di kuburan bus transjakarta diduga dari las | republika online,bakar di kubur bus transjakarta duga dari las republika online,"['bakar', 'di', 'kubur', 'bus', 'transjakarta', 'duga', 'dari', 'las', 'republika', 'online']","['bakar', 'kubur', 'bus', 'transjakarta', 'duga', 'las', 'republika', 'online']",bakar kubur bus transjakarta duga las republika online
2020-11-14 08:00:00+00:00,padang savana bukit anak dara sembalun terbakar,padang savana bukit anak dara sembalun bakar,"['padang', 'savana', 'bukit', 'anak', 'dara', 'sembalun', 'bakar']","['padang', 'savana', 'bukit', 'anak', 'dara', 'sembalun', 'bakar']",padang savana bukit anak dara sembalun bakar
2020-11-15 08:00:00+00:00,"galery dan kafe di ubud terbakar, kerugian miliaran rupiah",galery dan kafe di ubud bakar rugi miliar rupiah,"['galery', 'dan', 'kafe', 'di', 'ubud', 'bakar', 'rugi', 'miliar', 'rupiah']","['galery', 'kafe', 'ubud', 'bakar', 'rugi', 'miliar', 'rupiah']",galery kafe ubud bakar rugi miliar rupiah
2020-11-15 08:00:00+00:00,demokrat desak usut tuntas pembakaran hutan di papua,demokrat desak usut tuntas bakar hutan di papua,"['demokrat', 'desak', 'usut', 'tuntas', 'bakar', 'hutan', 'di', 'papua']","['demokrat', 'desak', 'usut', 'tuntas', 'bakar', 'hutan', 'papua']",demokrat desak usut tuntas bakar hutan papua
2020-11-15 08:00:00+00:00,kantor rtmc ditlantas polda jatim kebakaran,kantor rtmc ditlantas polda jatim bakar,"['kantor', 'rtmc', 'ditlantas', 'polda', 'jatim', 'bakar']","['kantor', 'rtmc', 'ditlantas', 'polda', 'jatim', 'bakar']",kantor rtmc ditlantas polda jatim bakar
2020-11-16 08:00:00+00:00,16 alasan ma hukum rp 490 m ke perusahaan sawit pembakar hutan riau,16 alas ma hukum rp 490 m ke usaha sawit bakar hutan riau,"['16', 'alas', 'ma', 'hukum', 'rp', '490', 'm', 'ke', 'usaha', 'sawit', 'bakar', 'hutan', 'riau']","['16', 'alas', 'ma', 'hukum', 'rp', '490', 'm', 'usaha', 'sawit', 'bakar', 'hutan', 'riau']",16 alas ma hukum rp 490 m usaha sawit bakar hutan riau
2020-11-16 08:00:00+00:00,"kebakaran besar lahap pasar weleri kendal, toko jilbab ini tetap utuh tak kena api",bakar besar lahap pasar weleri kendal toko jilbab ini tetap utuh tak kena api,"['bakar', 'besar', 'lahap', 'pasar', 'weleri', 'kendal', 'toko', 'jilbab', 'ini', 'tetap', 'utuh', 'tak', 'kena', 'api']","['bakar', 'lahap', 'pasar', 'weleri', 'kendal', 'toko', 'jilbab', 'utuh', 'kena', 'api']",bakar lahap pasar weleri kendal toko jilbab utuh kena api
2020-11-16 08:00:00+00:00,kebakaran sumur minyak di india dipadamkan setelah lima bulan,bakar sumur minyak di india padam telah lima bulan,"['bakar', 'sumur', 'minyak', 'di', 'india', 'padam', 'telah', 'lima', 'bulan']","['bakar', 'sumur', 'minyak', 'india', 'padam']",bakar sumur minyak india padam
2020-11-17 08:00:00+00:00,viral toko jilbab utuh di tengah kebakaran hebat di pasar tradisional,viral toko jilbab utuh di tengah bakar hebat di pasar tradisional,"['viral', 'toko', 'jilbab', 'utuh', 'di', 'tengah', 'bakar', 'hebat', 'di', 'pasar', 'tradisional']","['viral', 'toko', 'jilbab', 'utuh', 'bakar', 'hebat', 'pasar', 'tradisional']",viral toko jilbab utuh bakar hebat pasar tradisional
2020-11-17 08:00:00+00:00,ini cara klaim asuransi kendaraan yang hangus terbakar,ini cara klaim asuransi kendara yang hangus bakar,"['ini', 'cara', 'klaim', 'asuransi', 'kendara', 'yang', 'hangus', 'bakar']","['klaim', 'asuransi', 'kendara', 'hangus', 'bakar']",klaim asuransi kendara hangus bakar
