published date,title,stem,tokens,tokens_clean,merged
2018-01-24 08:00:00+00:00,"gempa kembali terjadi, sebagian netizen tak merasakan",gempa kembali jadi bagi netizen tak rasa,"['gempa', 'kembali', 'jadi', 'bagi', 'netizen', 'tak', 'rasa']","['gempa', 'netizen']",gempa netizen
2018-01-24 08:00:00+00:00,gempa bumi sebagai salah satu tanda kiamat dijelaskan alquran dan sains,gempa bumi bagai salah satu tanda kiamat jelas alquran dan sains,"['gempa', 'bumi', 'bagai', 'salah', 'satu', 'tanda', 'kiamat', 'jelas', 'alquran', 'dan', 'sains']","['gempa', 'bumi', 'salah', 'tanda', 'kiamat', 'alquran', 'sains']",gempa bumi salah tanda kiamat alquran sains
2018-01-25 08:00:00+00:00,gempa bumi dan gunung berapi guncang kedua sisi pasifik,gempa bumi dan gunung rap guncang dua sisi pasifik,"['gempa', 'bumi', 'dan', 'gunung', 'rap', 'guncang', 'dua', 'sisi', 'pasifik']","['gempa', 'bumi', 'gunung', 'rap', 'guncang', 'sisi', 'pasifik']",gempa bumi gunung rap guncang sisi pasifik
2018-01-25 08:00:00+00:00,bmkg : cincin api pasifik bukan pemicu gempa banten,bmkg cincin api pasifik bukan picu gempa banten,"['bmkg', 'cincin', 'api', 'pasifik', 'bukan', 'picu', 'gempa', 'banten']","['bmkg', 'cincin', 'api', 'pasifik', 'picu', 'gempa', 'banten']",bmkg cincin api pasifik picu gempa banten
2018-01-25 08:00:00+00:00,gempa bumi banten: relawan baznas bantu korban di lebak,gempa bumi banten rawan baznas bantu korban di lebak,"['gempa', 'bumi', 'banten', 'rawan', 'baznas', 'bantu', 'korban', 'di', 'lebak']","['gempa', 'bumi', 'banten', 'rawan', 'baznas', 'bantu', 'korban', 'lebak']",gempa bumi banten rawan baznas bantu korban lebak
2018-01-25 08:00:00+00:00,pekan superaktif cincin api pasifik: gunung meletus sampai gempa,pekan superaktif cincin api pasifik gunung letus sampai gempa,"['pekan', 'superaktif', 'cincin', 'api', 'pasifik', 'gunung', 'letus', 'sampai', 'gempa']","['pekan', 'superaktif', 'cincin', 'api', 'pasifik', 'gunung', 'letus', 'gempa']",pekan superaktif cincin api pasifik gunung letus gempa
2018-01-25 08:00:00+00:00,bmkg: gempa di banten bukan karena aktifnya cincin api pasifik,bmkg gempa di banten bukan karena aktif cincin api pasifik,"['bmkg', 'gempa', 'di', 'banten', 'bukan', 'karena', 'aktif', 'cincin', 'api', 'pasifik']","['bmkg', 'gempa', 'banten', 'aktif', 'cincin', 'api', 'pasifik']",bmkg gempa banten aktif cincin api pasifik
2018-01-25 08:00:00+00:00,"ingat, enam hal yang sebaiknya kamu lakukan saat terjadi gempa bumi, no 6 jangan sampai lupa",ingat enam hal yang baik kamu laku saat jadi gempa bumi no 6 jangan sampai lupa,"['ingat', 'enam', 'hal', 'yang', 'baik', 'kamu', 'laku', 'saat', 'jadi', 'gempa', 'bumi', 'no', '6', 'jangan', 'sampai', 'lupa']","['enam', 'laku', 'gempa', 'bumi', 'no', '6', 'lupa']",enam laku gempa bumi no 6 lupa
2018-01-26 08:00:00+00:00,"2.760 rumah rusak akibat gempa di banten, kemungkinan masih bertambah halaman all",2 760 rumah rusak akibat gempa di banten mungkin masih tambah halaman all,"['2', '760', 'rumah', 'rusak', 'akibat', 'gempa', 'di', 'banten', 'mungkin', 'masih', 'tambah', 'halaman', 'all']","['2', '760', 'rumah', 'rusak', 'akibat', 'gempa', 'banten', 'halaman', 'all']",2 760 rumah rusak akibat gempa banten halaman all
2018-01-26 08:00:00+00:00,benarkah gempa besar selalu terjadi saat purnama?,benar gempa besar selalu jadi saat purnama,"['benar', 'gempa', 'besar', 'selalu', 'jadi', 'saat', 'purnama']","['gempa', 'purnama']",gempa purnama
2018-01-26 08:00:00+00:00,"bandara nyia dirancang tahan gempa hingga 8,8 sr",bandara nyia rancang tahan gempa hingga 8 8 sr,"['bandara', 'nyia', 'rancang', 'tahan', 'gempa', 'hingga', '8', '8', 'sr']","['bandara', 'nyia', 'rancang', 'tahan', 'gempa', '8', '8', 'sr']",bandara nyia rancang tahan gempa 8 8 sr
2018-01-26 08:00:00+00:00,"jangan panik, ini yang harus dilakukan saat terjadi gempa bumi",jangan panik ini yang harus laku saat jadi gempa bumi,"['jangan', 'panik', 'ini', 'yang', 'harus', 'laku', 'saat', 'jadi', 'gempa', 'bumi']","['panik', 'laku', 'gempa', 'bumi']",panik laku gempa bumi
2018-01-26 08:00:00+00:00,gempa terjadi 47 kali di lebak dalam 4 hari terakhir,gempa jadi 47 kali di lebak dalam 4 hari akhir,"['gempa', 'jadi', '47', 'kali', 'di', 'lebak', 'dalam', '4', 'hari', 'akhir']","['gempa', '47', 'kali', 'lebak', '4']",gempa 47 kali lebak 4
2018-01-26 08:00:00+00:00,"lebak diguncang gempa 53 kali, ribuan rumah rusak",lebak guncang gempa 53 kali ribu rumah rusak,"['lebak', 'guncang', 'gempa', '53', 'kali', 'ribu', 'rumah', 'rusak']","['lebak', 'guncang', 'gempa', '53', 'kali', 'ribu', 'rumah', 'rusak']",lebak guncang gempa 53 kali ribu rumah rusak
2018-01-27 08:00:00+00:00,5 gempa bumi terbesar di dunia,5 gempa bumi besar di dunia,"['5', 'gempa', 'bumi', 'besar', 'di', 'dunia']","['5', 'gempa', 'bumi', 'dunia']",5 gempa bumi dunia
2018-01-27 08:00:00+00:00,mewaspadai bahaya laten gempa bumi di selatan jawa halaman all,waspada bahaya laten gempa bumi di selatan jawa halaman all,"['waspada', 'bahaya', 'laten', 'gempa', 'bumi', 'di', 'selatan', 'jawa', 'halaman', 'all']","['waspada', 'bahaya', 'laten', 'gempa', 'bumi', 'selatan', 'jawa', 'halaman', 'all']",waspada bahaya laten gempa bumi selatan jawa halaman all
2018-01-27 08:00:00+00:00,ini yang harus dilakukan saat gempa dan anda ada di lantai tinggi,ini yang harus laku saat gempa dan anda ada di lantai tinggi,"['ini', 'yang', 'harus', 'laku', 'saat', 'gempa', 'dan', 'anda', 'ada', 'di', 'lantai', 'tinggi']","['laku', 'gempa', 'lantai']",laku gempa lantai
2018-01-29 08:00:00+00:00,"datangi korban gempa, partai hanura gelar baksos di lebak banten",datang korban gempa partai hanura gelar baksos di lebak banten,"['datang', 'korban', 'gempa', 'partai', 'hanura', 'gelar', 'baksos', 'di', 'lebak', 'banten']","['korban', 'gempa', 'partai', 'hanura', 'gelar', 'baksos', 'lebak', 'banten']",korban gempa partai hanura gelar baksos lebak banten
2018-01-29 08:00:00+00:00,peristiwa langka super blue blood moon,peristiwa langka super blue blood moon,"['peristiwa', 'langka', 'super', 'blue', 'blood', 'moon']","['peristiwa', 'langka', 'super', 'blue', 'blood', 'moon']",peristiwa langka super blue blood moon
2018-01-29 08:00:00+00:00,"total kerugian akibat gempa di sukabumi rp 5,9 miliar",total rugi akibat gempa di sukabumi rp 5 9 miliar,"['total', 'rugi', 'akibat', 'gempa', 'di', 'sukabumi', 'rp', '5', '9', 'miliar']","['total', 'rugi', 'akibat', 'gempa', 'sukabumi', 'rp', '5', '9', 'miliar']",total rugi akibat gempa sukabumi rp 5 9 miliar
2018-01-30 08:00:00+00:00,"di jawa barat, gerhana bulan dan super blue blood moon muncul diantara celah awan",di jawa barat gerhana bulan dan super blue blood moon muncul antara celah awan,"['di', 'jawa', 'barat', 'gerhana', 'bulan', 'dan', 'super', 'blue', 'blood', 'moon', 'muncul', 'antara', 'celah', 'awan']","['jawa', 'barat', 'gerhana', 'super', 'blue', 'blood', 'moon', 'muncul', 'celah', 'awan']",jawa barat gerhana super blue blood moon muncul celah awan
2018-01-30 08:00:00+00:00,fenomena langka gerhana bulan biru kemerahan dan mitos gempa bumi,fenomena langka gerhana bulan biru merah dan mitos gempa bumi,"['fenomena', 'langka', 'gerhana', 'bulan', 'biru', 'merah', 'dan', 'mitos', 'gempa', 'bumi']","['fenomena', 'langka', 'gerhana', 'biru', 'merah', 'mitos', 'gempa', 'bumi']",fenomena langka gerhana biru merah mitos gempa bumi
